function,category,n_train,best_degree,C_train,C_test,deltaC,R2_train,R2_test,gap,d_deltaC,d_gap,d_R2_train,d_R2_test,d2_deltaC,d2_gap,deltaC_ratio
sine_high,B_oscillatory,220,10,5159.817522210095,4933.19870769346,-226.6188145166352,0.40805145218315586,0.333513498779927,0.07453795340322888,182.59573071473284,0.000861515603733387,0.000861515603733387,0.0,5.1290858084226585,6.902546347099774e-05,0.058428996082184145
sine_high,B_oscillatory,240,10,7223.322872842676,4933.19870769346,-2290.1241651492155,0.4074681307403487,0.333513498779927,0.07395463196042174,-103.17526753162902,-2.916607214035749e-05,-2.916607214035749e-05,0.0,-14.288549912318093,-4.4534083793687223e-05,10.10562238635798
sine_high,B_oscillatory,260,10,4557.9849322431155,4933.19870769346,375.21377545034466,0.380746602457707,0.333513498779927,0.04723310367778,133.266897029978,-0.001336076414132087,-0.001336076414132087,0.0,11.82210822808035,-6.534551709958648e-05,-0.16383992674296644
sine_high,B_oscillatory,280,10,4639.601993767376,4933.19870769346,293.5967139260838,0.39337455148901135,0.333513498779927,0.05986105270908437,-4.080853076213043,0.0006313974515652187,0.0006313974515652187,0.0,-6.867387505309551,9.837369328486527e-05,0.7824785046169981
sine_high,B_oscillatory,300,10,5503.868307008885,4933.19870769346,-570.6695993154244,0.3746316030546709,0.333513498779927,0.04111810427474394,-43.21331566207541,-0.0009371474217170217,-0.0009371474217170217,0.0,-1.9566231292931182,-7.842724366411203e-05,-1.9437193001386819
sine_high,B_oscillatory,320,10,4453.15832764494,4933.19870769346,480.0403800485201,0.37155585034004435,0.333513498779927,0.03804235156011737,52.535498968197224,-0.00015378763573132838,-0.00015378763573132838,0.0,4.787440731513632,3.916798929928467e-05,-0.841187931903814
sine_high,B_oscillatory,340,10,3853.067967389596,4933.19870769346,1080.130740303864,0.38496489844567416,0.333513498779927,0.05145139966574719,30.0045180127672,0.0006704524052814909,0.0006704524052814909,0.0,-1.1265490477715012,4.121200205064096e-05,2.250083087165896
sine_high,B_oscillatory,360,10,3246.329902801272,4933.19870769346,1686.868804892188,0.37112877276270984,0.333513498779927,0.03761527398278286,30.3369032294162,-0.0006918062841482165,-0.0006918062841482165,0.0,0.016619260832450067,-6.811293447148535e-05,1.5617265039763941
sine_high,B_oscillatory,380,10,3284.7253065941827,4933.19870769346,1648.4734010992775,0.3754037949720559,0.333513498779927,0.04189029619212892,-1.9197701896455328,0.00021375111046730287,0.00021375111046730287,0.0,-1.6128336709530866,4.5277869730775965e-05,0.9772386544338494
sine_high,B_oscillatory,400,10,3134.002093183908,4933.19870769346,1799.196614509552,0.36916992641733504,0.333513498779927,0.03565642763740806,7.536160670513732,-0.0003116934277360428,-0.0003116934277360428,0.0,0.47279654300796325,-2.6272226910167287e-05,1.0914319959968815
sine_high,B_oscillatory,420,10,3026.803435155225,4933.19870769346,1906.395272538235,0.35957755039911776,0.333513498779927,0.026064051619190787,5.359932901434149,-0.00047961880091086374,-0.00047961880091086374,0.0,-0.10881138845397915,-8.396268658741047e-06,1.05958140270173
